Bill No.,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Introduction Proper,Date of Passing in Lok Sabha,Date of Passing in Lok Sabha Proper,Date of Passing in Rajya Sabha,Date of Passing in Rajya Sabha Proper,Diff RS-LS,Diff RS-LS Cleaned,Date of Assent,Date of Assent Proper,Diff Ass-LS,Diff Ass-LS Clean,Act No.,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
70,1999,"The Securities Laws (Amendment) Bill, 1999                                                                                                                                                              ",NA,28-10-1999,10/28/1999,30-11-1999,11/30/1999,12/1/1999,12/1/1999,1,1,16-12-1999,12/16/1999,16,16,31,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/70_1999.pdf,NA,NA
71,1999,"The Representation of the People (Amendment) Bill, 1999                                                                                                                                                 ",NA,26-10-1999,10/26/1999,28-10-1999,10/28/1999,29-10-1999,10/29/1999,1,1,16-11-1999,11/16/1999,19,19,30,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/71_1999.pdf,NA,NA
72,1999,"The Prevention of Money Laundering Bill, 1999                                                                                                                                                           ",NA,29-10-1999,10/29/1999,12/2/1999,12/2/1999,25-07-2002,7/25/2002,966,966,17-01-2003,1/17/2003,1142,1142,15,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/72_1999.pdf,NA,NA
73,1999,"The Foreign Exchage Management Bill, 1999                                                                                                                                                               ",NA,29-11-1999,11/29/1999,12/2/1999,12/2/1999,12/8/1999,12/8/1999,6,6,29-12-1999,12/29/1999,27,27,42,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/73_1999.pdf,NA,NA
96,1999,"The Mines and Minerals (Regulation and Development) Amendment Bill,1999                                                                                                                                 ",NA,30-11-1999,11/30/1999,12/8/1999,12/8/1999,13-12-1999,12/13/1999,5,5,18-12-1999,12/18/1999,10,10,38,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/96_1999.pdf,NA,NA
99,1999,"The Constitution (Eighty-Fifth Amendment) Bill,1999                                                                                                                                                     ",LAW AND JUSTICE,23-12-1999,12/23/1999,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/99_1999.pdf,NA,NA
121,1999,"The Election Laws (Amendment) Bill, 1999                                                                                                                                                                ",NA,12/9/1999,12/9/1999,19-02-2003,2/19/2003,27-02-2003,2/27/2003,8,8,22-03-2003,3/22/2003,31,31,24,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/121_1999.pdf,NA,NA
122,1999,"The National Trust for Welfare of Persons with Autism, Cerebral Palsy, Mental Retardation and Multiple Disabilities Bill,1999                                                                           ",SOCIAL JUSTICE AND EMPOWERMENT,12/9/1999,12/9/1999,15-12-1999,12/15/1999,23-12-1999,12/23/1999,8,8,30-12-1999,12/30/1999,15,15,44,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/122_1999.pdf,NA,NA
123,1999,"The Protection of Plant Varities and Farmer`s Rights Bill, 1999                                                                                                                                         ",AGRICULTURE,14-12-1999,12/14/1999,9/8/2001,9/8/2001,28-08-2001,8/28/2001,-11,0,NA,NA,NA,0,                    ,Financial Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/123_1999.pdf,NA,NA
128,1999,"The Appropriation (Railways) No.4 Bill, 1999                                                                                                                                                            ",RAILWAYS,13-12-1999,12/13/1999,13-12-1999,12/13/1999,21-12-1999,12/21/1999,8,8,29-12-1999,12/29/1999,16,16,43,Money Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/128_1999.pdf,NA,NA
